core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption,migrations,context-switches,cache-misses,branch-misses,branch-load-misses,major-faults,minor-faults,sched_sched_wakeup_new,sched_sched_wakeup,sched_sched_switch,sched_sched_stat_runtime,sched_sched_process_wait,sched_sched_overutilized,cycles,sched_sched_load_avg_cpu,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-loads
1267200.0,1032750000.0,102000000.0,3.0,0.5,0.0,1,100,0,80,2,1,80,2,0,1,500000,60,60,10,1,32768,96000000,128,100,1000,192.7652947731384,251898.0,3500,42984,743389310,64426416,42698757,1180,372885,1730,25941,22211,40177469199,2101,428,32652644248,59941,128874,102276,13081876269,639058439,5045076527,3122572664,1394113352
1574400.0,1211250000.0,102000000.0,2.0,0.9,1.0,0,10,500,80,1,2,80,2,0,0,500000,60,30,10,1,65536,24000000,128,10,2000,195.49029948644153,258775.0,3120,46056,907277433,52671406,90866559,1524,651856,1167,22292,47630,38829950497,1146,293,26632573599,118513,149457,138997,9954297511,736156023,3120991215,4436836684,3211864115
1728000.0,408000000.0,204000000.0,2.0,0.5,0.0,0,10,0,10,0,2,50,2,2,1,950000,60,30,50,4,32768,24000000,64,10,1000,219.06252777138005,305663.0,3832,22242,705617083,70871518,86245317,1692,475511,2083,21624,20838,30988822898,1497,404,30487120226,110997,152354,164987,6569138712,708927365,5200523322,5522507477,1727577526
1267200.0,318750000.0,1331200000.0,3.0,0.5,1.0,1,100,500,10,3,1,50,2,0,1,500000,30,30,10,4,65536,96000000,32,10,1000,223.3982840238041,77834.0,2940,44253,646512010,69426730,89781566,1142,300379,2442,39663,42350,47311148311,1739,407,50933063051,72092,165766,144689,11700330806,870804567,2769316555,3226201159,3075000389
2035200.0,318750000.0,665600000.0,1.0,0.5,0.0,1,60,100,10,3,2,50,2,2,0,950000,60,60,10,4,32768,96000000,64,10,2000,201.0028633909631,412026.0,2333,41709,587711435,87856419,80059801,1314,324860,1161,42078,47498,27612029298,1882,285,34699289637,77632,125205,161668,8033837261,611044729,5337104718,5880241398,2676159101
1267200.0,1032750000.0,1331200000.0,4.0,0.5,0.0,1,10,100,80,0,2,80,0,0,0,950000,30,30,50,1,65536,24000000,64,100,2000,152.85163877690061,276367.0,3900,30108,482968847,73640590,54595389,860,546226,1684,22154,27922,37536596961,1276,489,52949258433,129875,171157,85756,11835378614,771282582,4907502805,4103346608,3035973665
960000.0,1122000000.0,665600000.0,1.0,0.9,0.0,0,100,0,10,2,2,80,0,2,0,950000,30,60,50,1,65536,24000000,32,10,2000,228.86599111135908,73816.0,3941,46384,742429575,46734946,50116263,1947,425106,2371,42232,21919,41883819381,1590,543,58653971828,95648,145865,158673,10934024156,976038333,5025139446,2623361085,2000429124
345600.0,1122000000.0,102000000.0,2.0,0.5,0.0,1,10,100,10,2,2,50,2,2,1,950000,30,60,50,4,65536,96000000,64,10,1000,153.13946809937266,268777.0,2507,30448,1028814650,64799958,76230902,1345,434445,1801,25439,21960,20886243926,1783,494,47954306028,107833,100730,159844,10608753763,663174153,4698341982,3668803810,1631517127
806400.0,1122000000.0,102000000.0,1.0,0.9,0.0,0,60,0,10,2,2,80,2,2,0,950000,60,60,10,4,65536,24000000,32,100,2000,161.36743385873677,357184.0,4243,45139,572091473,54487427,49151000,1638,417205,1383,28324,39444,40809645508,1204,460,48463804282,128570,168460,125603,12037401594,956567469,4604727129,5312395690,3054853953
960000.0,408000000.0,68000000.0,2.0,0.9,1.0,1,100,500,80,0,1,50,2,0,0,950000,30,30,50,1,32768,24000000,128,10,1000,215.39416539663188,103506.0,4010,29024,524408085,59390525,45766697,1193,295227,1553,21143,33349,32291912239,1281,594,33049855847,123040,147812,106227,13769605678,862767378,2725908340,2979024785,2325033659
