core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption,migrations,context-switches,cache-misses,branch-misses,branch-load-misses,major-faults,minor-faults,sched_sched_wakeup_new,sched_sched_wakeup,sched_sched_switch,sched_sched_stat_runtime,sched_sched_process_wait,sched_sched_overutilized,cycles,sched_sched_load_avg_cpu,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-loads
2112000.0,960000.0,2133000000.0,4.0,0.9,2.0,1,60,500,80,0,2,60,1,1,0,950000,30,60,5,1,32768,24000000,256,50,1000,94.73640484764078,268469.0,2889,17903,740626269,78046534,68732070,40,181740,1027,17824,22813,33167662737,704,274,77242591451,76873,73579,52727,4095969935,595115838,1466358445,871251902,1304242294
268800.0,268800.0,1065600000.0,1.0,0.9,2.0,1,100,100,10,0,1,60,0,1,0,500000,60,30,5,4,32768,96000000,256,100,1000,55.48432524461567,210582.0,3207,23019,577369032,109207361,86502147,36,124960,1054,26053,28425,37068457660,361,304,69775059085,39690,54622,39154,3323771428,565103733,1215223421,1310091293,1966460214
2265600.0,268800.0,600000000.0,1.0,0.5,1.0,0,60,100,10,3,1,60,1,1,1,500000,30,30,5,1,32768,24000000,128,50,2000,51.71463173183987,277205.0,2086,36605,998301768,140398396,93545505,44,146054,853,30649,33741,47119765967,480,358,49347408750,47863,48063,36218,3637702041,977901459,910849813,794197403,2365661248
1804800.0,1113600.0,800000000.0,1.0,0.5,1.0,1,100,100,10,0,1,50,1,1,1,500000,60,30,50,1,32768,24000000,256,50,1000,16.366238324161394,237025.0,3143,24528,798380615,94606357,120672403,44,143617,1514,24436,25266,48869460318,513,184,66198649042,80203,53622,45785,4764200184,801754161,1551833490,805914969,2296879593
2112000.0,1036800.0,1331200000.0,3.0,0.5,1.0,1,60,100,10,0,1,50,1,2,0,950000,30,30,50,4,32768,96000000,256,100,1000,79.03037056604039,258498.0,4034,31707,471160606,122123079,55724055,38,104161,739,33066,34411,44236757333,473,240,72633235280,71545,66270,51519,3514506013,951998517,1484396370,1460867628,1675717974
960000.0,806400.0,665600000.0,4.0,0.9,2.0,1,60,500,80,3,2,60,0,2,1,500000,60,60,5,1,65536,96000000,128,50,1000,79.7276600431389,249656.0,3690,21307,449388525,139118430,76341112,59,157900,702,24908,29093,49309344360,592,360,67504452112,60154,32983,72044,4081203578,470099090,1485705201,1554237010,2675285874
1574400.0,2265600.0,204000000.0,4.0,0.5,1.0,1,100,100,10,0,1,50,1,1,1,500000,60,30,50,1,32768,24000000,256,50,1000,85.34198073925897,276230.0,3209,20454,867980386,133782930,64027574,40,206641,832,29262,26301,31635109644,395,380,75396391770,87684,69182,67692,5228795113,1041513615,1584809905,1544519098,2000597888
1190400.0,422400.0,1065600000.0,4.0,0.5,1.0,1,100,100,10,3,1,50,1,2,0,950000,60,30,5,1,32768,96000000,256,100,2000,83.37390711958854,235857.0,2096,26919,621478541,112421859,99860903,26,135452,907,21300,25977,44984572844,523,185,69191133282,51566,70994,63106,3452953643,768456536,851772457,1124164050,2836520189
883200.0,1113600.0,800000000.0,1.0,0.9,2.0,1,60,100,80,0,2,60,1,2,1,950000,60,30,5,1,65536,96000000,128,100,1000,72.5795284073096,180808.0,3592,30705,539902322,167404125,93114323,51,177923,1150,38609,23916,37667102318,516,360,62161879609,44871,62056,55789,4780412876,781835790,884719482,1192610965,1728922293
2265600.0,422400.0,800000000.0,3.0,0.5,2.0,1,60,500,80,0,2,60,1,2,0,500000,60,30,5,4,65536,96000000,256,50,1000,81.66231492497676,186326.0,4777,29852,632361891,86203444,62518785,35,173978,1392,29102,35014,47470345609,618,264,65206827149,49032,58784,68063,4685493070,623315118,1622814625,927898671,2724784484
1036800.0,422400.0,1065600000.0,2.0,0.5,1.0,1,60,100,10,3,1,60,1,1,0,950000,60,60,5,4,32768,24000000,128,100,1000,155.4967663674783,269310.0,3757,35237,617164453,165010611,93147334,26,132916,1429,24933,24201,40793111500,639,204,46125872957,64065,65780,53819,6811048189,844508921,840158796,1010896337,2888003617
1804800.0,1036800.0,1866000000.0,1.0,0.5,2.0,1,100,100,10,0,1,60,1,1,1,500000,30,60,50,1,65536,24000000,128,100,1000,69.15865833618702,277501.0,3011,18282,437714867,154275870,90183426,41,104019,885,30613,25957,40561120585,485,166,76361217834,57189,44588,44429,4132860879,700501821,1188124145,1227750632,1544480048
115200.0,1113600.0,600000000.0,4.0,0.9,2.0,0,100,100,10,3,1,50,1,2,0,950000,60,30,5,4,32768,24000000,256,100,1000,50.80610972106421,265251.0,4144,29725,535790536,103211711,55212675,57,122832,1358,27351,22356,29538504768,721,285,42388534626,44188,67111,32469,6810600516,772676916,1284317587,1540650173,2217648410
1267200.0,1804800.0,2133000000.0,2.0,0.5,1.0,1,60,500,10,3,1,60,0,1,1,950000,60,30,5,1,65536,24000000,256,100,1000,43.401538594185915,279554.0,2623,25512,888100732,78591508,113599049,49,109563,845,39509,25628,50792180925,575,308,72343393318,56991,35095,38886,5135652354,538997050,785774735,1548620279,1810083750
883200.0,192000.0,2133000000.0,3.0,0.9,2.0,0,60,100,80,0,1,60,0,1,1,500000,30,30,5,1,65536,24000000,256,50,2000,81.72641974676293,194102.0,4710,30146,738996032,131646317,67340934,34,139347,771,27965,31801,50421045090,387,349,68274499441,75199,51055,42512,6982492104,507482525,1585251026,1387407797,1691499666
