,core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption
857,115200.0,1420800.0,1065600000.0,4.0,0.5,2.0,0,60,100,10,3,2,50,0,2,0,500000,30,30,50,4,65536,24000000,256,50,2000,4.843986441316378,17242.0
1841,729600.0,1958400.0,2133000000.0,2.0,0.5,1.0,1,100,500,10,0,2,60,1,1,0,500000,30,60,50,1,32768,96000000,256,100,1000,12.566213248432572,45397.0
1495,2112000.0,576000.0,800000000.0,4.0,0.9,2.0,0,100,100,10,0,1,50,0,2,0,950000,60,60,5,1,32768,96000000,128,50,2000,27.420922534775897,82505.0
525,2265600.0,2035200.0,1065600000.0,1.0,0.9,2.0,0,60,500,80,0,1,60,1,2,0,950000,30,60,50,4,32768,96000000,128,50,1000,12.823187762892204,40650.0
320,192000.0,115200.0,665600000.0,2.0,0.9,2.0,1,100,100,80,3,2,50,0,2,0,950000,60,30,5,4,32768,96000000,128,100,2000,3.3689716476150924,32868.0
1903,1344000.0,1651200.0,600000000.0,2.0,0.5,2.0,0,100,500,10,0,2,50,0,2,0,500000,60,30,50,1,65536,96000000,256,100,1000,6.988770938318567,52874.0
1566,1574400.0,2112000.0,2133000000.0,1.0,0.5,1.0,1,60,500,10,0,2,50,1,1,1,500000,30,60,5,1,65536,96000000,128,100,1000,8.777397864864799,64060.0
2222,1113600.0,729600.0,1866000000.0,3.0,0.9,2.0,1,60,100,80,3,1,50,1,2,0,500000,30,60,5,4,65536,96000000,256,50,1000,11.541190624309387,55822.0
124,1958400.0,1958400.0,2133000000.0,4.0,0.5,2.0,0,100,500,10,0,1,60,0,1,1,500000,60,30,50,1,65536,24000000,128,100,2000,11.418126465583134,57023.0
1986,1344000.0,1267200.0,1065600000.0,1.0,0.5,2.0,1,100,100,80,0,2,60,1,2,1,500000,60,30,5,1,32768,24000000,128,50,2000,21.886092475194612,77086.0
940,2265600.0,1420800.0,2133000000.0,3.0,0.9,1.0,1,100,500,10,0,2,60,1,1,0,500000,30,60,50,1,32768,96000000,256,100,1000,6.9750722152730615,48257.0
2162,422400.0,2265600.0,2133000000.0,4.0,0.9,1.0,0,60,100,10,0,1,50,0,1,1,500000,60,60,5,4,32768,96000000,256,100,2000,10.474369601500614,43243.0
