memory_growth@0.5,memory_growth@0.9,logical_devices@0,logical_devices@1,core_freq@345600,core_freq@499200,core_freq@652800,core_freq@806400,core_freq@960000,core_freq@1113600,core_freq@1267200,core_freq@1420800,core_freq@1574400,core_freq@1728000,core_freq@1881600,core_freq@2035200,gpu_freq@140250000,gpu_freq@229500000,gpu_freq@318750000,gpu_freq@408000000,gpu_freq@497250000,gpu_freq@675750000,gpu_freq@765000000,gpu_freq@854250000,gpu_freq@1032750000,gpu_freq@1122000000,gpu_freq@1211250000,gpu_freq@1300500000,emc_freq@40800000,emc_freq@68000000,emc_freq@102000000,emc_freq@204000000,emc_freq@665600000,emc_freq@1062400000,emc_freq@1331200000,emc_freq@1866000000,num_cores@1,num_cores@2,num_cores@3,num_cores@4,scheduler.policy@0,scheduler.policy@1,vm.swappiness@10,vm.swappiness@60,vm.swappiness@100,vm.vfs_cache_pressure@0,vm.vfs_cache_pressure@100,vm.vfs_cache_pressure@500,vm.dirty_background_ratio@10,vm.dirty_background_ratio@80,vm.drop_caches@0,vm.drop_caches@1,vm.drop_caches@2,vm.drop_caches@3,vm.nr_hugepages@1,vm.nr_hugepages@2,vm.overcommit_ratio@50,vm.overcommit_ratio@80,vm.overcommit_memory@0,vm.overcommit_memory@2,vm.overcommit_hugepages@0,vm.overcommit_hugepages@1,vm.overcommit_hugepages@2,kernel.sched_child_runs_first@0,kernel.sched_child_runs_first@1,kernel.sched_rt_runtime_us@500000,kernel.sched_rt_runtime_us@950000,vm.dirty_bytes@30,vm.dirty_bytes@60,vm.dirty_background_bytes@30,vm.dirty_background_bytes@60,vm.dirty_ratio@10,vm.dirty_ratio@50,swap_memory@1,swap_memory@4,kernel.max_pids@32768,kernel.max_pids@65536,kernel.sched_latency_ns@24000000,kernel.sched_latency_ns@96000000,kernel.sched_nr_migrate@32,kernel.sched_nr_migrate@64,kernel.sched_nr_migrate@128,kernel.cpu_time_max_percent@10,kernel.cpu_time_max_percent@100,kernel.sched_time_avg_ms@1000,kernel.sched_time_avg_ms@2000,total_energy_consumption,inference_time
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,388810.0,129.2763121703071
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,213365.0,82.20387699047063
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,398132.0,117.21629383271785
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,307426.0,150.0624674842279
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,275779.0,133.5578190526768
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,216294.0,133.77739649827717
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,253148.0,139.03436177625585
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,239762.0,85.41652185221766
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,212013.0,167.2907087996608
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,210216.0,93.79967725853662
