,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_freq,emc_freq,inference_time,total_energy_consumption,gpu_energy_consumption,cpu_energy_consumption,total_temp,gpu_temp,cpu_temp,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,cpu_utilization,cycles,instructions,cpu_utilization,context-switches,migrations,cache-references,cache-misses,major-faults,minor-faults,branch-loads,branch-load-misses,branch-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,irq:irq_handler_entry,irq:irq_handler_exit,irq:softirq_entry,irq:softirq_exit,irq:softirq_raise,ext4:ext4_mark_inode_dirty,raw_syscalls:sys_enter,raw_syscalls:sys_exit,sched:sched_blocked_reason,sched:sched_migrate_task,sched:sched_process_exit,sched:sched_process_fork,sched:sched_process_free,sched:sched_process_wait,sched:sched_stat_blocked,sched:sched_stat_iowait,sched:sched_stat_runtime,sched:sched_stat_sleep,sched:sched_stat_wait,sched:sched_wakeup,sched:sched_wakeup_new,sched:sched_waking
13,1.0,0.0,0.0,1.0,1574400.0,318750000.0,102000000.0,4.456449031830001,44934.0,2636.0,15420.666666666664,40139.4000736,40935.22267206666,41984.84848483334,1.0,0.0,100.0,5.0,21358017366.666668,2294513301.3333335,5.0,4364.0,502.33333333333326,1251778217.0,81178293.33333333,0.0,55497.33333333334,508013523.3333333,37468550.0,38580299.0,1226088848.6666667,77841038.0,1146938477.3333333,4506.333333333333,4506.333333333333,7894.666666666668,7894.666666666668,7976.0,11.666666666666664,33834.666666666664,33652.666666666664,303.6666666666667,713.0,183.0,182.0,83.33333333333333,171.0,3262501472.0,16588298.666666664,13850385258.666666,478367347530.6667,6979227488.0,5640.666666666668,364.0,6827.666666666668
14,1.0,0.0,1.0,1.0,2035200.0,854250000.0,204000000.0,1.0331029891943333,24511.33333333333,2665.3333333333335,9017.333333333334,41394.44444443333,41733.333333333336,43472.22222223334,1.0,100.0,500.0,5.0,7567307310.0,1719258025.6666667,5.0,2095.0,231.0,823314573.6666666,43247548.333333336,4.0,33215.333333333336,355937082.3333333,19608603.333333332,19864753.666666668,792572305.3333334,43111756.333333336,765344267.6666666,1528.333333333333,1528.333333333333,3148.666666666666,3148.666666666666,3196.666666666666,11.666666666666664,25679.66666666667,25593.66666666667,140.0,285.3333333333333,87.0,86.0,27.66666666666667,75.0,645309408.0,20430613.333333332,4626136640.0,105247199264.0,563033184.0,2845.333333333334,172.0,2772.333333333334
15,1.0,0.0,0.0,1.0,1574400.0,318750000.0,102000000.0,3.1578984260566667,33866.666666666664,2130.0,10693.333333333334,40151.48809523333,40879.166666666664,41938.095238099995,0.0,0.0,500.0,5.0,18403734059.666668,2066114212.3333333,5.0,3546.0,372.66666666666674,1114264340.3333333,64055411.33333334,3.6666666666666665,44740.0,441904429.6666667,32495384.66666667,32849102.0,1094104959.0,62412217.33333334,1022956165.0,3870.666666666666,3870.666666666666,6759.333333333332,6759.333333333332,6822.0,12.0,30133.0,29997.66666666667,251.0,532.0,136.33333333333334,135.33333333333334,50.66666666666666,125.0,2567869738.6666665,80841472.0,11826527904.0,243169955146.66666,5883553568.0,4397.666666666667,270.6666666666667,5367.666666666667
16,1.0,1.0,0.0,1.0,1728000.0,854250000.0,1062400000.0,0.13713574409466667,9590.333333333334,1091.3333333333333,2970.333333333334,41708.333333333336,42333.333333333336,43500.0,0.0,0.0,100.0,5.0,2520218580.3333335,1356799463.6666667,5.0,577.0,74.0,593980980.0,23747605.0,1.0,20928.333333333332,270086660.0,14852264.333333336,14759744.0,584470758.3333334,23209543.66666667,573841643.6666666,466.66666666666674,466.66666666666674,1224.6666666666667,1224.6666666666667,1254.3333333333333,11.0,21743.0,21711.333333333332,54.66666666666666,81.0,32.666666666666664,31.66666666666667,7.666666666666668,27.0,57835914.66666666,1503776.0,1535523296.0,24043809760.0,80836522.66666667,785.3333333333335,63.33333333333334,935.6666666666665
17,1.0,0.0,0.0,1.0,1574400.0,318750000.0,102000000.0,2.7161869208,28731.66666666667,2003.666666666667,9678.333333333334,40159.06084656667,40794.97354496667,42044.64285713333,1.0,0.0,500.0,5.0,17406474096.666668,1964589471.0,5.0,3061.333333333334,311.6666666666667,1069893939.0,58835512.33333334,6.666666666666668,39483.666666666664,408434802.3333333,30672331.0,30967186.66666667,1047839312.6666666,57224471.33333334,974311592.0,3405.666666666666,3405.666666666666,6493.0,6493.0,6558.333333333332,12.0,28316.66666666667,28203.33333333333,198.33333333333337,418.66666666666674,114.33333333333331,113.33333333333331,47.33333333333334,103.0,2259213429.3333335,453075104.0,11010348778.666666,194013571850.66666,4369660885.333333,4014.333333333334,226.66666666666663,4899.333333333333
18,1.0,1.0,0.0,1.0,1728000.0,854250000.0,1062400000.0,0.146573781967,10365.666666666666,1319.6666666666667,3123.0,41541.666666666664,42500.0,43416.666666666664,1.0,0.0,100.0,5.0,2579792134.3333335,1330257861.3333333,5.0,607.0,66.0,592599240.0,22532943.33333333,0.0,20486.666666666668,265555918.33333337,14758258.666666664,14699699.333333336,584415547.3333334,21690944.0,564568578.0,513.6666666666666,513.6666666666666,1200.6666666666667,1200.6666666666667,1227.6666666666667,11.333333333333336,21537.666666666668,21508.333333333332,41.666666666666664,79.33333333333333,30.33333333333333,29.33333333333333,5.666666666666668,25.0,19184864.0,0.0,1549684053.3333333,30807623722.666668,84315669.33333333,777.6666666666665,58.66666666666666,833.3333333333335
19,1.0,0.0,0.0,1.0,1574400.0,318750000.0,102000000.0,3.247580369313333,39381.0,2485.0,13159.666666666664,40075.44191920001,40808.7121212,41979.166666666664,0.0,100.0,100.0,5.0,18529612369.333332,2081634147.6666667,5.0,3598.666666666666,405.66666666666674,1130364749.0,69915687.33333333,1.6666666666666667,47356.33333333334,448409147.0,32544245.0,33114211.66666667,1111080869.6666667,67759506.0,1039762295.3333334,3927.333333333334,3927.333333333334,6885.666666666668,6885.666666666668,6947.333333333332,11.666666666666664,30863.33333333333,30715.33333333333,260.3333333333333,553.0,149.0,148.0,57.66666666666666,137.0,3140407978.6666665,39106912.0,12148750410.666666,278764881632.0,6129333450.666667,4617.0,296.0,5560.333333333332
20,1.0,1.0,0.0,1.0,1728000.0,854250000.0,1062400000.0,0.13419795036333335,9489.0,1142.0,2843.666666666666,41416.666666666664,42416.666666666664,43500.0,0.0,0.0,500.0,5.0,2444846555.3333335,1320221995.3333333,5.0,495.33333333333326,67.0,579290538.6666666,22657391.66666667,0.0,20659.666666666668,266887457.33333337,14428640.0,14246407.333333336,577893250.0,21733996.666666668,562540528.6666666,459.33333333333326,459.33333333333326,1136.0,1136.0,1166.3333333333333,11.333333333333336,21646.666666666668,21617.333333333332,23.33333333333333,77.33333333333333,30.33333333333333,29.33333333333333,8.0,25.0,49288586.66666666,1562101.333333333,1433095626.6666667,23402895658.666668,57761962.66666666,676.6666666666666,58.66666666666666,872.6666666666665
21,1.0,0.0,0.0,1.0,1574400.0,318750000.0,102000000.0,3.0914226373033338,40765.333333333336,2560.6666666666665,13692.666666666664,40016.369047633336,40619.047619033336,41857.14285713333,1.0,100.0,100.0,5.0,19223472742.333332,2146401610.0,5.0,3755.666666666666,428.33333333333326,1149346298.6666667,72389871.66666667,0.3333333333333333,49301.0,461082570.6666667,33852643.666666664,34319879.666666664,1127107716.0,68497064.66666667,1055090158.3333334,4042.0,4042.0,7106.666666666668,7106.666666666668,7162.666666666668,12.0,31557.33333333333,31401.33333333333,269.3333333333333,612.6666666666666,157.0,156.0,59.66666666666666,145.0,3247848128.0,17615360.0,12544863509.333334,333695649898.6667,7604825824.0,4879.0,312.0,5848.0
22,1.0,1.0,0.0,1.0,1728000.0,854250000.0,1062400000.0,0.13479598363233333,9476.333333333334,1142.0,2818.333333333334,41250.0,42500.0,43333.333333333336,1.0,0.0,500.0,5.0,2437616235.6666665,1327984665.0,5.0,503.66666666666674,64.0,574668874.0,20860046.0,0.0,20353.333333333332,271180684.0,14374307.666666664,14312710.666666664,567477893.0,21350072.333333332,557950244.3333334,448.33333333333326,448.33333333333326,1119.3333333333333,1119.3333333333333,1147.3333333333333,11.333333333333336,21473.333333333332,21446.333333333332,17.666666666666668,78.0,28.0,27.0,5.666666666666668,23.0,45069749.33333334,490005.33333333326,1430136842.6666667,22152898240.0,48863210.66666666,692.0,54.0,858.3333333333335
