core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption,migrations,context-switches,cache-misses,branch-misses,branch-load-misses,major-faults,minor-faults,sched_sched_wakeup_new,sched_sched_wakeup,sched_sched_switch,sched_sched_stat_runtime,sched_sched_process_wait,sched_sched_overutilized,cycles,sched_sched_load_avg_cpu,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-loads
1728000,140250000,1866000000,3,0.9,0,1,10,500,10,3,2,50,0,2,0,950000,30,30,50,4,32768,96000000,64,100,1000,77.9613991898576,317272,2243,43117,956498648,51562130,50646683,1055,302089,2386,41807,40672,44535844722,1425,544,30113153981,105897,123209,85516,13941776779,733691014,4248542760,2556447934,2878226428
1267200,1122000000,68000000,3,0.5,1,1,60,100,80,1,1,50,2,2,0,950000,60,30,10,1,32768,96000000,32,10,1000,145.599833981261,216443,2920,36049,845888998,56562578,77709736,1479,303247,1248,22054,46595,30284619445,1837,298,53074742760,117723,93756,94675,7231284468,1020901247,3378317372,2988649244,1934699819
1881600,675750000,665600000,4,0.9,0,0,60,500,80,1,2,80,2,0,1,950000,60,30,10,4,65536,96000000,32,10,1000,194.978412334868,235762,3496,21389,795832079,43954221,41633833,1452,440007,1835,20020,26995,32423700910,2282,326,59922011345,88820,120629,87661,13128800552,483673543,3833590838,5808091662,3076191379
960000,140250000,1331200000,2,0.9,0,1,100,0,10,2,2,80,0,2,1,500000,30,60,50,1,65536,96000000,64,100,1000,93.4817531150141,332057,3082,37282,1067234045,51523872,62068212,1882,322200,1058,42721,41632,46564412220,2179,418,51794561410,90131,130994,148535,6934718850,587210699,4134642876,3377846740,1542315204
1728000,229500000,204000000,1,0.5,1,1,100,500,10,2,2,50,0,2,1,950000,60,60,10,4,65536,24000000,32,10,1000,142.840795068164,398189,2089,37543,553563143,69053107,49866965,880,400919,1920,25801,43239,45296567032,1342,364,55680617683,59935,154357,86858,6732583711,752591598,5845026102,4227359125,2468134112
1728000,675750000,68000000,4,0.9,1,1,60,100,80,1,1,50,0,1,1,500000,60,60,50,1,32768,96000000,64,10,2000,82.8724072039358,312915,4154,22651,969148935,56145215,88919737,1433,305013,1174,19615,22739,23631260102,1470,386,55151877976,131883,128983,86990,6338233325,1004083588,3309267981,2964907364,1684211918
499200,408000000,1866000000,3,0.5,0,1,60,0,10,0,2,50,0,2,0,950000,60,30,50,4,32768,24000000,32,10,2000,110.591734140819,237060,2017,25503,850052455,54811620,70679579,988,469593,1499,21071,23129,28162919901,1854,395,37802027938,60948,143280,171365,13349715117,550805552,2811988187,3920347998,3044306045
1113600,675750000,1062400000,2,0.5,1,1,10,500,10,3,2,50,0,2,0,950000,30,30,50,4,32768,96000000,64,100,1000,128.149640439884,249914,2082,45274,867631683,63888502,77233919,1763,567454,1914,37509,36237,23199695247,2038,402,34767876037,64010,169019,110362,10540546428,513327185,2562543317,4528389861,1993273944
1113600,140250000,1866000000,1,0.5,1,1,100,500,10,1,2,50,0,2,1,500000,60,30,10,1,65536,24000000,128,100,2000,93.7593373552333,207485,2903,45821,643321155,44587496,90330199,1905,565077,1454,36946,46451,24849336708,1293,620,47702221636,115361,175378,101698,10353463489,537094450,5891812441,3703460497,2526176003
2035200,318750000,40800000,1,0.5,1,0,100,0,80,3,2,80,2,0,1,500000,30,60,10,4,65536,96000000,128,100,1000,117.231479614178,214014,4203,34830,784495094,79790210,55424085,1177,440241,2235,38363,24296,31190323414,1376,273,58880735882,66503,130711,134819,12519385951,596956369,5148959184,2618556676,1537373788
